Abundance|10E=169
Nevinyrral's Disk|CED=3455
Nightmare|CED=1418
Northern Paladin|CED=211
Obsianus Golem|CED=189
Orcish Artillery|CED=242
Orcish Oriflamme|CED=149
Paralyze|CED=350
Pearled Unicorn|CED=116
Personal Incarnation|CED=475
Pestilence|CED=443
Phantasmal Forces|CED=423
Phantasmal Terrain|CED=99
Phantom Monster|CED=254
Pirate Ship|CED=1599
Plague Rats|CED=327
Plains (1)|CED=288
Plains (2)|CED=470
Plains (3)|CED=231
Plateau|CED=17271
Power Leak|CED=237
Power Sink|CED=317
Power Surge|CED=306
Prodigal Sorcerer|CED=460
Psionic Blast|CED=5489
Psychic Venom|CED=295
Purelace|CED=178
Raging River|CED=2601
Raise Dead|CED=139
Red Elemental Blast|CED=1769
Red Ward|CED=187
Regeneration|CED=193
Regrowth|CED=2308
Resurrection|CED=281
Reverse Damage|CED=202
Righteousness|CED=283
Roc of Kher Ridges|CED=695
Rock Hydra|CED=1169
Rod of Ruin|CED=225
Royal Assassin|CED=3698
Sacrifice|CED=696
Samite Healer|CED=193
Savannah|CED=18500
Savannah Lions|CED=4567
Scathe Zombies|CED=214
Scavenging Ghoul|CED=173
Scrubland|CED=19148
Scryb Sprites|CED=635
Sea Serpent|CED=196
Sedge Troll|CED=2965
Sengir Vampire|CED=2499
Serra Angel|CED=5829
Shanodin Dryads|CED=145
Shatter|CED=504
Shivan Dragon|CED=7599
Simulacrum|CED=202
Sinkhole|CED=3000
Siren's Call|CED=297
Sleight of Mind|CED=269
Smoke|CED=665
Sol Ring|CED=9999
Soul Net|CED=142
Spell Blast|CED=199
Stasis|CED=2875
Steal Artifact|CED=135
Stone Giant|CED=218
Stone Rain|CED=458
Stream of Life|CED=267
Sunglasses of Urza|CED=457
Swamp (1)|CED=496
Swamp (2)|CED=390
Swamp (3)|CED=352
Swords to Plowshares|CED=4499
Taiga|CED=21025
Terror|CED=795
The Hive|CED=607
Thicket Basilisk|CED=203
Thoughtlace|CED=338
Throne of Bone|CED=260
Timber Wolves|CED=219
Time Vault|CED=28599
Time Walk|CED=51442
Timetwister|CED=75000
Tranquility|CED=143
Tropical Island|CED=30912
Tsunami|CED=415
Tundra|CED=29482
Tunnel|CED=122
Twiddle|CED=616
Two-Headed Giant of Foriys|CED=1994
Underground Sea|CED=34052
Unholy Strength|CED=887
Unsummon|CED=769
Uthden Troll|CED=356
Verduran Enchantress|CED=1621
Vesuvan Doppelganger|CED=3560
Veteran Bodyguard|CED=97
Volcanic Eruption|CED=273
Volcanic Island|CED=39476
Wall of Air|CED=300
Wall of Bone|CED=500
Wall of Brambles|CED=127
Wall of Fire|CED=184
Wall of Ice|CED=500
Wall of Stone|CED=149
Wall of Swords|CED=398
Wall of Water|CED=214
Wall of Wood|CED=197
Wanderlust|CED=163
War Mammoth|CED=255
Warp Artifact|CED=137
Water Elemental|CED=325
Weakness|CED=332
Web|CED=191
Wheel of Fortune|CED=19997
White Knight|CED=1117
White Ward|CED=141
Wild Growth|CED=730
Will-o'-the-Wisp|CED=1397
Winter Orb|CED=4551
Wooden Sphere|CED=169
Word of Command|CED=4563
Wrath of God|CED=2925
Zombie Master|CED=1046
Air Elemental|CEI=330
Ancestral Recall|CEI=50957
Animate Artifact|CEI=152
Animate Dead|CEI=4999
Animate Wall|CEI=1022
Ankh of Mishra|CEI=2000
Armageddon|CEI=2168
Aspect of Wolf|CEI=91
Bad Moon|CEI=703
Badlands|CEI=18741
Balance|CEI=2000
Basalt Monolith|CEI=739
Bayou|CEI=15238
Benalish Hero|CEI=333
Berserk|CEI=3979
Birds of Paradise|CEI=13434
Black Knight|CEI=1873
Black Lotus|CEI=185892
Black Vise|CEI=2295
Black Ward|CEI=157
Blaze of Glory|CEI=1113
Blessing|CEI=110
Blue Elemental Blast|CEI=448
Blue Ward|CEI=119
Bog Wraith|CEI=149
Braingeyser|CEI=4833
Burrowing|CEI=172
Camouflage|CEI=500
Castle|CEI=134
Celestial Prism|CEI=203
Channel|CEI=283
Chaos Orb|CEI=35423
Chaoslace|CEI=104
Circle of Protection: Black|CEI=124
Circle of Protection: Blue|CEI=140
Circle of Protection: Green|CEI=184
Circle of Protection: Red|CEI=330
Circle of Protection: White|CEI=159
Clockwork Beast|CEI=105
Clone|CEI=200
Cockatrice|CEI=403
Consecrate Land|CEI=179
Conservator|CEI=122
Contract from Below|CEI=1595
Control Magic|CEI=471
Conversion|CEI=179
Copper Tablet|CEI=6116
Copy Artifact|CEI=3354
Counterspell|CEI=6498
Craw Wurm|CEI=1106
Creature Bond|CEI=749
Crystal Rod|CEI=137
Cursed Land|CEI=181
Cyclopean Tomb|CEI=1668
Dark Ritual|CEI=5069
Darkpact|CEI=548
Death Ward|CEI=108
Deathgrip|CEI=180
Deathlace|CEI=324
Demonic Attorney|CEI=1786
Demonic Hordes|CEI=1081
Demonic Tutor|CEI=8400
Dingus Egg|CEI=391
Disenchant|CEI=1011
Disintegrate|CEI=158
Disrupting Scepter|CEI=1699
Dragon Whelp|CEI=945
Drain Life|CEI=371
Drain Power|CEI=100
Drudge Skeletons|CEI=65
Dwarven Demolition Team|CEI=188
Dwarven Warriors|CEI=53
Earth Elemental|CEI=77
Earthbind|CEI=1716
Earthquake|CEI=1392
Elvish Archers|CEI=723
Evil Presence|CEI=194
False Orders|CEI=180
Farmstead|CEI=175
Fastbond|CEI=2695
Fear|CEI=63
Feedback|CEI=95
Fire Elemental|CEI=210
Fireball|CEI=299
Firebreathing|CEI=37
Flashfires|CEI=240
Flight|CEI=163
Fog|CEI=169
Force of Nature|CEI=1625
Forcefield|CEI=4836
Forest (1)|CEI=246
Forest (2)|CEI=268
Forest (3)|CEI=261
Fork|CEI=3647
Frozen Shade|CEI=225
Fungusaur|CEI=320
Gaea's Liege|CEI=228
Gauntlet of Might|CEI=14022
Giant Growth|CEI=815
Giant Spider|CEI=142
Glasses of Urza|CEI=236
Gloom|CEI=406
Goblin Balloon Brigade|CEI=790
Goblin King|CEI=1772
Granite Gargoyle|CEI=1300
Gray Ogre|CEI=54
Green Ward|CEI=149
Grizzly Bears|CEI=290
Guardian Angel|CEI=145
Healing Salve|CEI=119
Helm of Chatzuk|CEI=212
Hill Giant|CEI=57
Holy Armor|CEI=219
Holy Strength|CEI=135
Howl from Beyond|CEI=238
Howling Mine|CEI=2799
Hurloon Minotaur|CEI=517
Hurricane|CEI=265
Hypnotic Specter|CEI=3928
Ice Storm|CEI=4495
Icy Manipulator|CEI=4953
Illusionary Mask|CEI=3400
Instill Energy|CEI=189
Invisibility|CEI=251
Iron Star|CEI=89
Ironclaw Orcs|CEI=124
Ironroot Treefolk|CEI=326
Island (1)|CEI=847
Island (2)|CEI=698
Island (3)|CEI=360
Island Sanctuary|CEI=2120
Ivory Cup|CEI=69
Jade Monolith|CEI=181
Jade Statue|CEI=1480
Jayemdae Tome|CEI=3070
Juggernaut|CEI=1322
Jump|CEI=213
Karma|CEI=152
Keldon Warlord|CEI=821
Kormus Bell|CEI=464
Kudzu|CEI=478
Lance|CEI=226
Ley Druid|CEI=80
Library of Leng|CEI=818
Lich|CEI=4154
Lifeforce|CEI=68
Lifelace|CEI=187
Lifetap|CEI=90
Lightning Bolt|CEI=4901
Living Artifact|CEI=68
Living Lands|CEI=242
Living Wall|CEI=168
Llanowar Elves|CEI=1995
Lord of Atlantis|CEI=537
Lord of the Pit|CEI=1762
Lure|CEI=65
Magical Hack|CEI=1068
Mahamoti Djinn|CEI=1947
Mana Flare|CEI=1910
Mana Short|CEI=1499
Mana Vault|CEI=5187
Manabarbs|CEI=342
Meekstone|CEI=989
Merfolk of the Pearl Trident|CEI=247
Mesa Pegasus|CEI=181
Mind Twist|CEI=3456
Mons's Goblin Raiders|CEI=198
Mountain (1)|CEI=495
Mountain (2)|CEI=395
Mountain (3)|CEI=228
Mox Emerald|CEI=41258
Mox Jet|CEI=69999
Mox Pearl|CEI=43913
Mox Ruby|CEI=65000
Mox Sapphire|CEI=75000
Natural Selection|CEI=2654
Nether Shadow|CEI=645
Nettling Imp|CEI=116
Nevinyrral's Disk|CEI=2695
Nightmare|CEI=1143
Northern Paladin|CEI=848
Obsianus Golem|CEI=86
Orcish Artillery|CEI=137
Orcish Oriflamme|CEI=171
Paralyze|CEI=198
Pearled Unicorn|CEI=148
Personal Incarnation|CEI=687
Pestilence|CEI=352
Phantasmal Forces|CEI=151
Phantasmal Terrain|CEI=190
Phantom Monster|CEI=209
Pirate Ship|CEI=741
Plague Rats|CEI=318
Plains (1)|CEI=190
Plains (2)|CEI=362
Plains (3)|CEI=225
Plateau|CEI=13941
Power Leak|CEI=74
Power Sink|CEI=81
Power Surge|CEI=312
Prodigal Sorcerer|CEI=260
Psionic Blast|CEI=3541
Psychic Venom|CEI=165
Purelace|CEI=281
Raging River|CEI=4000
Raise Dead|CEI=210
Red Elemental Blast|CEI=1230
Red Ward|CEI=95
Regeneration|CEI=135
Regrowth|CEI=1701
Resurrection|CEI=422
Reverse Damage|CEI=246
Righteousness|CEI=87
Roc of Kher Ridges|CEI=219
Rock Hydra|CEI=530
Rod of Ruin|CEI=183
Royal Assassin|CEI=1974
Sacrifice|CEI=486
Samite Healer|CEI=87
Savannah|CEI=14474
Savannah Lions|CEI=3648
Scathe Zombies|CEI=172
Scavenging Ghoul|CEI=57
Scrubland|CEI=19500
Scryb Sprites|CEI=171
Sea Serpent|CEI=326
Sedge Troll|CEI=2264
Sengir Vampire|CEI=1074
Serra Angel|CEI=5043
Shanodin Dryads|CEI=159
Shatter|CEI=295
Shivan Dragon|CEI=6013
Simulacrum|CEI=248
Sinkhole|CEI=2524
Siren's Call|CEI=189
Sleight of Mind|CEI=421
Smoke|CEI=700
Sol Ring|CEI=9999
Soul Net|CEI=68
Spell Blast|CEI=172
Stasis|CEI=2553
Steal Artifact|CEI=169
Stone Giant|CEI=165
Stone Rain|CEI=924
Stream of Life|CEI=449
Sunglasses of Urza|CEI=361
Swamp (1)|CEI=288
Swamp (2)|CEI=512
Swamp (3)|CEI=358
Swords to Plowshares|CEI=3780
Taiga|CEI=20000
Terror|CEI=684
The Hive|CEI=872
Thicket Basilisk|CEI=213
Thoughtlace|CEI=144
Throne of Bone|CEI=547
Timber Wolves|CEI=399
Time Vault|CEI=19475
Time Walk|CEI=69999
Timetwister|CEI=74799
Tranquility|CEI=59
Tropical Island|CEI=25106
Tsunami|CEI=312
Tundra|CEI=23421
Tunnel|CEI=72
Twiddle|CEI=334
Two-Headed Giant of Foriys|CEI=1271
Underground Sea|CEI=37599
Unholy Strength|CEI=1598
Unsummon|CEI=234
Uthden Troll|CEI=302
Verduran Enchantress|CEI=1942
Vesuvan Doppelganger|CEI=1604
Veteran Bodyguard|CEI=251
Volcanic Eruption|CEI=593
Volcanic Island|CEI=32925
Wall of Air|CEI=87
Wall of Bone|CEI=95
Wall of Brambles|CEI=62
Wall of Fire|CEI=135
Wall of Ice|CEI=138
Wall of Stone|CEI=170
Wall of Swords|CEI=155
Wall of Water|CEI=890
Wall of Wood|CEI=1149
Wanderlust|CEI=100
War Mammoth|CEI=189
Warp Artifact|CEI=79
Water Elemental|CEI=442
Weakness|CEI=240
Web|CEI=103
Wheel of Fortune|CEI=13189
White Knight|CEI=1015
White Ward|CEI=71
Wild Growth|CEI=371
Will-o'-the-Wisp|CEI=1130
Winter Orb|CEI=2932
Wooden Sphere|CEI=550
Word of Command|CEI=3772
Wrath of God|CEI=2125
Zombie Master|CEI=1200
Absorb Vis|CFX=8
Aerie Mystics|CFX=13
Ancient Ziggurat|CFX=224
Apocalypse Hydra|CFX=144
Armillary Sphere|CFX=16
Asha's Favor|CFX=20
Aven Squire|CFX=8
Aven Trailblazer|CFX=6
Banefire|CFX=63
Beacon Behemoth|CFX=4
Blood Tyrant|CFX=44
Bloodhall Ooze|CFX=43
Bone Saw|CFX=9
Brackwater Elemental|CFX=5
Canyon Minotaur|CFX=4
Celestial Purge|CFX=26
Charnelhoard Wurm|CFX=22
Child of Alara|CFX=141
Cliffrunner Behemoth|CFX=29
Conflux|CFX=260
Constricting Tendrils|CFX=2
Controlled Instincts|CFX=9
Corrupted Roots|CFX=20
Countersquall|CFX=108
Court Homunculus|CFX=6
Cumber Stone|CFX=10
Cylian Sunsinger|CFX=17
Dark Temper|CFX=2
Darklit Gargoyle|CFX=15
Drag Down|CFX=8
Dragonsoul Knight|CFX=19
Dreadwing|CFX=11
Elder Mastery|CFX=9
Ember Weaver|CFX=4
Esper Cormorants|CFX=3
Esperzoa|CFX=15
Ethersworn Adjudicator|CFX=69
Exotic Orchard|CFX=160
Exploding Borders|CFX=6
Extractor Demon|CFX=26
Faerie Mechanist|CFX=13
Fiery Fall|CFX=3
Filigree Fracture|CFX=13
Fleshformer|CFX=8
Font of Mythos|CFX=1666
Frontline Sage|CFX=13
Fusion Elemental|CFX=27
Giltspire Avenger|CFX=69
Gleam of Resistance|CFX=3
Gluttonous Slime|CFX=20
Goblin Outlander|CFX=8
Goblin Razerunners|CFX=32
Grixis Illusionist|CFX=7
Grixis Slavedriver|CFX=7
Gwafa Hazid, Profiteer|CFX=46
Hellkite Hatchling|CFX=19
Hellspark Elemental|CFX=24
Ignite Disorder|CFX=7
Infectious Horror|CFX=10
Inkwell Leviathan|CFX=69
Jhessian Balmgiver|CFX=12
Kaleidostone|CFX=12
Kederekt Parasite|CFX=560
Knight of the Reliquary|CFX=198
Knotvine Mystic|CFX=48
Kranioceros|CFX=11
Lapse of Certainty|CFX=71
Maelstrom Archangel|CFX=146
Magister Sphinx|CFX=52
Malfegor|CFX=131
Mana Cylix|CFX=8
Manaforce Mace|CFX=13
Maniacal Rage|CFX=2
Mark of Asylum|CFX=144
Martial Coup|CFX=57
Master Transmuter|CFX=199
Matca Rioters|CFX=9
Meglonoth|CFX=36
Might of Alara|CFX=20
Mirror-Sigil Sergeant|CFX=165
Molten Frame|CFX=5
Nacatl Hunt-Pride|CFX=10
Nacatl Outlander|CFX=10
Nacatl Savage|CFX=6
Nicol Bolas, Planeswalker|CFX=447
Noble Hierarch|CFX=1076
Nyxathid|CFX=21
Obelisk of Alara|CFX=49
Paleoloth|CFX=77
Paragon of the Amesha|CFX=22
Parasitic Strix|CFX=9
Path to Exile|CFX=138
Pestilent Kathari|CFX=5
Progenitus|CFX=492
Quenchable Fire|CFX=2
Rakka Mar|CFX=42
Reliquary Tower|CFX=201
Rhox Bodyguard|CFX=9
Rhox Meditant|CFX=5
Rotting Rats|CFX=66
Rupture Spire|CFX=12
Sacellum Archers|CFX=11
Salvage Slasher|CFX=7
Scarland Thrinax|CFX=10
Scattershot Archer|CFX=76
Scepter of Dominance|CFX=52
Scepter of Fugue|CFX=43
Scepter of Insight|CFX=15
Scornful Aether-Lich|CFX=12
Sedraxis Alchemist|CFX=18
Shambling Remains|CFX=12
Shard Convergence|CFX=49
Sigil of the Empty Throne|CFX=87
Skyward Eye Prophets|CFX=7
Sludge Strider|CFX=12
Soul's Majesty|CFX=131
Sphinx Summoner|CFX=33
Spore Burst|CFX=17
Suicidal Charge|CFX=2
Sylvan Bounty|CFX=3
Telemin Performance|CFX=74
Thornling|CFX=108
Toxic Iguanar|CFX=7
Traumatic Visions|CFX=4
Tukatongue Thallid|CFX=8
Unstable Frontier|CFX=14
Unsummon|CFX=11
Vagrant Plowbeasts|CFX=14
Valeron Outlander|CFX=6
Valiant Guard|CFX=8
Vectis Agents|CFX=8
Vedalken Outlander|CFX=5
Viashino Slaughtermaster|CFX=3
View from Above|CFX=29
Voices from the Void|CFX=7
Volcanic Fallout|CFX=20
Voracious Dragon|CFX=58
Wall of Reverence|CFX=143
Wandering Goblins|CFX=8
Wild Leotau|CFX=2
Worldheart Phoenix|CFX=32
Worldly Counsel|CFX=11
Wretched Banquet|CFX=9
Yoke of the Damned|CFX=13
Zombie Outlander|CFX=8
Akki Avalanchers|CHK=5
Akki Coalflinger|CHK=14
Akki Lavarunner|CHK=41
Akki Lavarunner // Tok-Tok, Volcano Born|CHK=43
Akki Rockspeaker|CHK=7
Akki Underminer|CHK=23
Ashen-Skin Zubera|CHK=10
Aura of Dominion|CHK=32
Azami, Lady of Scrolls|CHK=138
Azusa, Lost but Seeking|CHK=1012
Battle-Mad Ronin|CHK=12
Befoul|CHK=11
Ben-Ben, Akki Hermit|CHK=71
Blessed Breath|CHK=13
Blind with Anger|CHK=18
Blood Rites|CHK=9
Blood Speaker|CHK=57
Bloodthirsty Ogre|CHK=16
Boseiju, Who Shelters All|CHK=1259
Brothers Yamazaki (1)|CHK=29
Brothers Yamazaki (2)|CHK=22
Brutal Deceiver|CHK=5
Budoka Gardener|CHK=89
Budoka Gardener // Dokai, Weaver of Life|CHK=170
Burr Grafter|CHK=5
Bushi Tenderfoot|CHK=28
Bushi Tenderfoot // Kenzo the Hardhearted|CHK=35
Cage of Hands|CHK=10
Call to Glory|CHK=21
Callous Deceiver|CHK=6
Candles' Glow|CHK=11
Cleanfall|CHK=22
Cloudcrest Lake|CHK=23
Commune with Nature|CHK=14
Consuming Vortex|CHK=10
Counsel of the Soratami|CHK=12
Cranial Extraction|CHK=57
Cruel Deceiver|CHK=5
Crushing Pain|CHK=12
Cursed Ronin|CHK=10
Cut the Tethers|CHK=9
Dampen Thought|CHK=15
Dance of Shadows|CHK=15
Deathcurse Ogre|CHK=5
Desperate Ritual|CHK=185
Devoted Retainer|CHK=16
Devouring Greed|CHK=14
Devouring Rage|CHK=12
Distress|CHK=24
Dosan the Falling Leaf|CHK=3152
Dripping-Tongue Zubera|CHK=11
Earthshaker|CHK=12
Eerie Procession|CHK=19
Eiganjo Castle|CHK=1345
Eight-and-a-Half-Tails|CHK=113
Ember-Fist Zubera|CHK=16
Ethereal Haze|CHK=41
Eye of Nowhere|CHK=14
Feast of Worms|CHK=14
Feral Deceiver|CHK=5
Field of Reality|CHK=4
Floating-Dream Zubera|CHK=20
Forbidden Orchard|CHK=859
Forest (1)|CHK=21
Forest (2)|CHK=24
Forest (3)|CHK=45
Forest (4)|CHK=29
Frostwielder|CHK=18
Gale Force|CHK=8
General's Kabuto|CHK=562
Ghostly Prison|CHK=573
Gibbering Kami|CHK=8
Gifts Ungiven|CHK=2860
Glacial Ray|CHK=8
Glimpse of Nature|CHK=1100
Godo, Bandit Warlord|CHK=248
Graceful Adept|CHK=33
Guardian of Solitude|CHK=18
Gutwrencher Oni|CHK=15
Hair-Strung Koto|CHK=57
Hall of the Bandit Lord|CHK=1067
Hana Kami|CHK=13
Hanabi Blast|CHK=8
Hankyu|CHK=10
Harsh Deceiver|CHK=8
He Who Hungers|CHK=62
Heartbeat of Spring|CHK=248
Hearth Kami|CHK=10
Hideous Laughter|CHK=17
Hikari, Twilight Guardian|CHK=34
Hinder|CHK=29
Hisoka's Defiance|CHK=12
Hisoka's Guard|CHK=20
Hisoka, Minamo Sensei|CHK=59
Hold the Line|CHK=38
Honden of Cleansing Fire|CHK=422
Honden of Infinite Rage|CHK=137
Honden of Life's Web|CHK=219
Honden of Night's Reach|CHK=178
Honden of Seeing Winds|CHK=137
Honor-Worn Shaku|CHK=338
Horizon Seed|CHK=11
Horobi, Death's Wail|CHK=96
Humble Budoka|CHK=14
Hundred-Talon Kami|CHK=10
Imi Statue|CHK=36
Iname, Death Aspect|CHK=38
Iname, Life Aspect|CHK=45
Indomitable Will|CHK=14
Initiate of Blood|CHK=16
Initiate of Blood // Goka the Unjust|CHK=10
Innocence Kami|CHK=11
Isamaru, Hound of Konda|CHK=324
Island (1)|CHK=40
Island (2)|CHK=83
Island (3)|CHK=37
Island (4)|CHK=63
Jade Idol|CHK=9
Journeyer's Kite|CHK=41
Joyous Respite|CHK=11
Jugan, the Rising Star|CHK=164
Jukai Messenger|CHK=5
Junkyo Bell|CHK=34
Jushi Apprentice|CHK=75
Jushi Apprentice // Tomoya the Revealer|CHK=96
Kabuto Moth|CHK=8
Kami of Ancient Law|CHK=12
Kami of Fire's Roar|CHK=10
Kami of Lunacy|CHK=11
Kami of Old Stone|CHK=17
Kami of Twisted Reflection|CHK=12
Kami of the Hunt|CHK=5
Kami of the Painted Road|CHK=14
Kami of the Palace Fields|CHK=13
Kami of the Waning Moon|CHK=11
Kashi-Tribe Reaver|CHK=14
Kashi-Tribe Warriors|CHK=13
Keiga, the Tide Star|CHK=275
Kiki-Jiki, Mirror Breaker|CHK=996
Kiku, Night's Flower|CHK=595
Kitsune Blademaster|CHK=15
Kitsune Diviner|CHK=9
Kitsune Healer|CHK=16
Kitsune Mystic|CHK=76
Kitsune Mystic // Autumn-Tail, Kitsune Sage|CHK=48
Kitsune Riftwalker|CHK=11
Kodama of the North Tree|CHK=91
Kodama of the South Tree|CHK=82
Kodama's Might|CHK=18
Kodama's Reach|CHK=163
Kokusho, the Evening Star|CHK=2832
Konda's Banner|CHK=989
Konda's Hatamoto|CHK=179
Konda, Lord of Eiganjo|CHK=580
Kumano's Pupils|CHK=18
Kumano, Master Yamabushi|CHK=26
Kuro, Pitlord|CHK=40
Kusari-Gama|CHK=549
Lantern Kami|CHK=17
Lantern-Lit Graveyard|CHK=24
Lava Spike|CHK=110
Lifted by Clouds|CHK=10
Long-Forgotten Gohei|CHK=41
Lure|CHK=18
Mana Seism|CHK=15
Marrow-Gnawer|CHK=1999
Masako the Humorless|CHK=490
Matsu-Tribe Decoy|CHK=8
Meloku the Clouded Mirror|CHK=134
Midnight Covenant|CHK=9
Minamo, School at Water's Edge|CHK=4949
Mindblaze|CHK=29
Moonring Mirror|CHK=44
Moss Kami|CHK=6
Mothrider Samurai|CHK=14
Mountain (1)|CHK=60
Mountain (2)|CHK=30
Mountain (3)|CHK=40
Mountain (4)|CHK=22
Myojin of Cleansing Fire|CHK=233
Myojin of Infinite Rage|CHK=201
Myojin of Life's Web|CHK=625
Myojin of Night's Reach|CHK=639
Myojin of Seeing Winds|CHK=241
Mystic Restraints|CHK=18
Nagao, Bound by Honor|CHK=20
Nature's Will|CHK=485
Nezumi Bone-Reader|CHK=39
Nezumi Cutthroat|CHK=21
Nezumi Graverobber|CHK=52
Nezumi Graverobber // Nighteyes the Desecrator|CHK=67
Nezumi Ronin|CHK=24
Nezumi Shortfang|CHK=193
Nezumi Shortfang // Stabwhisker the Odious|CHK=331
Night Dealings|CHK=81
Night of Souls' Betrayal|CHK=429
Nine-Ringed Bo|CHK=13
No-Dachi|CHK=18
Numai Outcast|CHK=15
Oathkeeper, Takeno's Daisho|CHK=532
Okina, Temple to the Grandfathers|CHK=591
Oni Possession|CHK=13
Orbweaver Kumo|CHK=9
Order of the Sacred Bell|CHK=4
Ore Gorger|CHK=14
Orochi Eggwatcher|CHK=21
Orochi Eggwatcher // Shidako, Broodmistress|CHK=24
Orochi Hatchery|CHK=93
Orochi Leafcaller|CHK=25
Orochi Ranger|CHK=12
Orochi Sustainer|CHK=21
Otherworldly Journey|CHK=21
Pain Kami|CHK=10
Painwracker Oni|CHK=24
Part the Veil|CHK=46
Peer Through Depths|CHK=26
Petals of Insight|CHK=16
Pinecrest Ridge|CHK=21
Pious Kitsune|CHK=16
Plains (1)|CHK=28
Plains (2)|CHK=40
Plains (3)|CHK=31
Plains (4)|CHK=34
Psychic Puppetry|CHK=35
Pull Under|CHK=11
Quiet Purity|CHK=13
Rag Dealer|CHK=13
Ragged Veins|CHK=15
Reach Through Mists|CHK=27
Reciprocate|CHK=19
Reito Lantern|CHK=24
Rend Flesh|CHK=12
Rend Spirit|CHK=9
Reverse the Sands|CHK=52
Reweave|CHK=53
River Kaijin|CHK=5
Ronin Houndmaster|CHK=10
Rootrunner|CHK=11
Ryusei, the Falling Star|CHK=115
Sachi, Daughter of Seshiro|CHK=96
Sakura-Tribe Elder|CHK=51
Samurai Enforcers|CHK=17
Samurai of the Pale Curtain|CHK=87
Scuttling Death|CHK=6
Seizan, Perverter of Truth|CHK=156
Sensei Golden-Tail|CHK=225
Sensei's Divining Top|CHK=2787
Serpent Skin|CHK=17
Seshiro the Anointed|CHK=493
Shell of the Last Kappa|CHK=76
Shimatsu the Bloodcloaked|CHK=40
Shinka, the Bloodsoaked Keep|CHK=1194
Shisato, Whispering Hunter|CHK=71
Shizo, Death's Storehouse|CHK=2933
Sideswipe|CHK=10
Sift Through Sands|CHK=15
Silent-Chant Zubera|CHK=10
Sire of the Storm|CHK=24
Soilshaper|CHK=8
Sokenzan Bruiser|CHK=11
Soratami Cloudskater|CHK=12
Soratami Mirror-Guard|CHK=12
Soratami Mirror-Mage|CHK=27
Soratami Rainshaper|CHK=22
Soratami Savant|CHK=17
Soratami Seer|CHK=23
Sosuke, Son of Seshiro|CHK=25
Soul of Magma|CHK=7
Soulblast|CHK=35
Soulless Revival|CHK=20
Squelch|CHK=22
Stone Rain|CHK=21
Strange Inversion|CHK=14
Strength of Cedars|CHK=12
Struggle for Sanity|CHK=21
Student of Elements|CHK=17
Student of Elements // Tobita, Master of Winds|CHK=10
Swallowing Plague|CHK=19
Swamp (1)|CHK=61
Swamp (2)|CHK=40
Swamp (3)|CHK=39
Swamp (4)|CHK=32
Swirl the Mists|CHK=38
Takeno, Samurai General|CHK=88
Tatsumasa, the Dragon's Fang|CHK=348
Teller of Tales|CHK=11
Tenza, Godo's Maul|CHK=77
Terashi's Cry|CHK=14
The Unspeakable|CHK=36
Thief of Hope|CHK=15
Thoughtbind|CHK=7
Thousand-legged Kami|CHK=11
Through the Breach|CHK=662
Tide of War|CHK=128
Time Stop|CHK=208
Time of Need|CHK=238
Tranquil Garden|CHK=15
Uba Mask|CHK=855
Uncontrollable Anger|CHK=9
Unearthly Blizzard|CHK=9
Unnatural Speed|CHK=8
Untaidake, the Cloud Keeper|CHK=366
Uyo, Silent Prophet|CHK=31
Vassal's Duty|CHK=33
Venerable Kumo|CHK=8
Vigilance|CHK=15
Villainous Ogre|CHK=11
Vine Kami|CHK=9
Waking Nightmare|CHK=7
Wandering Ones|CHK=16
Waterveil Cavern|CHK=18
Wear Away|CHK=16
Wicked Akuba|CHK=14
Yamabushi's Flame|CHK=10
Yamabushi's Storm|CHK=15
Yosei, the Morning Star|CHK=283
Zo-Zu the Punisher|CHK=2015
Abu Ja'far|CHR=18
Active Volcano|CHR=15
Akron Legionnaire|CHR=33
Aladdin|CHR=48
Angelic Voices|CHR=31
Arcades Sabboth|CHR=46
Arena of the Ancients|CHR=76
Argothian Pixies|CHR=6
Ashnod's Altar|CHR=645
Ashnod's Transmogrant|CHR=13
Axelrod Gunnarson|CHR=30
Ayesha Tanaka|CHR=28
Azure Drake|CHR=13
Banshee|CHR=10
Barl's Cage|CHR=34
Beasts of Bogardan|CHR=8
Blood Moon|CHR=706
Blood of the Martyr|CHR=19
Bog Rats|CHR=15
Book of Rass|CHR=40
Boomerang|CHR=18
Bronze Horse|CHR=29
Cat Warriors|CHR=8
Chromium|CHR=77
City of Brass|CHR=2234
Cocoon|CHR=14
Concordant Crossroads|CHR=1619
Craw Giant|CHR=13
Cuombajj Witches|CHR=15
Cyclone|CHR=36
D'Avenant Archer|CHR=5
Dakkon Blackblade|CHR=226
Dance of Many|CHR=54
Dandân|CHR=110
Divine Offering|CHR=9
Emerald Dragonfly|CHR=7
Enchantment Alteration|CHR=12
Erhnam Djinn|CHR=33
Fallen Angel|CHR=19
Feldon's Cane|CHR=30
Fire Drake|CHR=13
Fishliver Oil|CHR=10
Flash Flood|CHR=10
Fountain of Youth|CHR=11
Gabriel Angelfire|CHR=38
Gauntlets of Chaos|CHR=24
Ghazbán Ogre|CHR=5
Giant Slug|CHR=9
Goblin Artisans|CHR=14
Goblin Digging Team|CHR=11
Goblin Shrine|CHR=9
Goblins of the Flarg|CHR=8
Hasran Ogress|CHR=8
Hell's Caretaker|CHR=224
Horn of Deafening|CHR=26
Indestructible Aura|CHR=22
Ivory Guardians|CHR=10
